WILAYA_CLEAN,COMMUNE_CLEAN,ZONE_RPA,capital_total,nb_polices,dommage_total,risque_moyen,proba_moyenne,CLASSE_COMMUNE
ADRAR,ADRAR,0,336240000.0,2,3362400.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,AIN BENIAN (AIN DEFLA),Inconnu,59000000.0,3,2950000.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,AIN BOUYAHIA,Inconnu,7000000.0,2,350000.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,AIN SOLTANE AIN DEFLA,Inconnu,43920000.0,6,2196000.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,AIN TORKI,Inconnu,5000000.0,1,250000.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,ARIB,Inconnu,16039550.0,7,801978.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,BORDJ EMIR KHALED,Inconnu,20265000.0,1,1013250.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,BOUMEDFAA,Inconnu,2145000.0,1,107250.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,BOURACHED,Inconnu,20620000.0,8,1031000.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,DEFLA,Inconnu,778649693.0,282,38932485.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,DJELIDA,Inconnu,40770000.0,15,2038500.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,DJEMAA OULED CHEIKH,Inconnu,1000000.0,1,50000.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,DJENDEL,Inconnu,5650000.0,2,282500.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,EL ABBADIA,Inconnu,121505460.0,47,6075273.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,EL AMRA,Inconnu,38381120.0,13,1919056.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,EL ATTAF,Inconnu,436158130.0,157,21807906.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,EL MAYENE,Inconnu,6500000.0,2,325000.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,HAMMAM RIGHA,Inconnu,1560000.0,1,78000.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,INCONNU,Inconnu,5000000.0,2,250000.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,KHEMIS MILIANA,Inconnu,53884800.0,3,2694240.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,MEKHATRIA,Inconnu,8500000.0,3,425000.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,MILIANA,Inconnu,21225000.0,2,1061250.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,ROUINA,Inconnu,49726900.0,13,2486345.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,TACHTA ZEGARRA,Inconnu,4500000.0,1,225000.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,TIBERKANINE,Inconnu,168043250.0,24,8402162.0,0.0,0.0,SOUCONCENTRATION ✅
AIN DEFLA,ZEDDINE,Inconnu,18000000.0,7,900000.0,0.0,0.0,SOUCONCENTRATION ✅
AIN TIMOUCHENT,BENI SAF,Inconnu,5145000.0,1,257250.0,0.0,0.0,SOUCONCENTRATION ✅
